#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 4 1 5 1.00E+00 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 9 4 12 5.00E-01 5.00E-01 Inf 0 NaN NaN NaN NaN NaN NaN NaN
3 12 16 9 21 3.33E-01 3.33E-01 20 20 4.55E-04 5.53E-03 8.31E-03 6.47E-03 1.20E-02 3.36E-02 4.50E-02
4 16 25 16 32 2.50E-01 2.50E-01 20 20 1.14E-04 1.90E-03 2.91E-03 2.38E-03 5.48E-03 1.31E-02 2.64E-02
5 20 36 25 45 2.00E-01 2.00E-01 20 20 5.59E-04 8.79E-04 1.41E-03 1.10E-03 2.75E-03 8.19E-03 1.28E-02
6 24 49 36 60 1.67E-01 1.67E-01 20 20 7.05E-04 4.49E-04 7.47E-04 5.70E-04 1.49E-03 4.44E-03 9.05E-03
7 28 64 49 77 1.43E-01 1.43E-01 20 20 1.69E-03 2.55E-04 4.35E-04 3.26E-04 8.82E-04 2.43E-03 5.78E-03
8 32 81 64 96 1.25E-01 1.25E-01 20 20 1.34E-03 1.56E-04 2.72E-04 2.00E-04 5.54E-04 1.41E-03 3.62E-03
9 36 100 81 117 1.11E-01 1.11E-01 20 20 1.38E-03 1.01E-04 1.78E-04 1.30E-04 3.65E-04 8.67E-04 2.30E-03
10 40 121 100 140 1.00E-01 1.00E-01 20 20 1.91E-03 6.79E-05 1.22E-04 8.84E-05 2.50E-04 5.63E-04 1.50E-03
11 44 144 121 165 9.09E-02 9.09E-02 20 20 2.13E-03 4.75E-05 8.62E-05 6.21E-05 1.77E-04 3.82E-04 1.00E-03
12 48 169 144 192 8.33E-02 8.33E-02 20 20 2.61E-03 3.43E-05 6.27E-05 4.50E-05 1.29E-04 2.68E-04 6.88E-04
13 52 196 169 221 7.69E-02 7.69E-02 20 20 2.78E-03 2.54E-05 4.67E-05 3.34E-05 9.60E-05 1.94E-04 4.86E-04
14 56 225 196 252 7.14E-02 7.14E-02 20 20 3.37E-03 1.92E-05 3.55E-05 2.53E-05 7.30E-05 1.43E-04 3.53E-04
15 60 256 225 285 6.67E-02 6.67E-02 20 20 3.84E-03 1.48E-05 2.75E-05 1.95E-05 5.65E-05 1.08E-04 2.75E-04
16 64 289 256 320 6.25E-02 6.25E-02 20 20 4.50E-03 1.16E-05 2.16E-05 1.53E-05 4.44E-05 8.33E-05 2.15E-04
17 68 324 289 357 5.88E-02 5.88E-02 20 20 5.73E-03 9.17E-06 1.72E-05 1.22E-05 3.53E-05 6.51E-05 1.70E-04
18 72 361 324 396 5.56E-02 5.56E-02 20 20 5.61E-03 7.38E-06 1.39E-05 9.83E-06 2.85E-05 5.16E-05 1.39E-04
19 76 400 361 437 5.26E-02 5.26E-02 20 20 6.82E-03 6.01E-06 1.13E-05 8.01E-06 2.32E-05 4.14E-05 1.19E-04
20 80 441 400 480 5.00E-02 5.00E-02 20 20 6.95E-03 4.94E-06 9.35E-06 6.59E-06 1.91E-05 3.36E-05 1.03E-04
21 84 484 441 525 4.76E-02 4.76E-02 20 20 8.09E-03 4.10E-06 7.77E-06 5.48E-06 1.59E-05 2.76E-05 8.98E-05
22 88 529 484 572 4.55E-02 4.55E-02 20 20 9.14E-03 3.43E-06 6.51E-06 4.59E-06 1.33E-05 2.28E-05 7.88E-05
23 92 576 529 621 4.35E-02 4.35E-02 20 20 1.13E-02 2.89E-06 5.50E-06 3.87E-06 1.12E-05 1.91E-05 6.95E-05
24 96 625 576 672 4.17E-02 4.17E-02 20 20 1.07E-02 2.46E-06 4.68E-06 3.29E-06 9.55E-06 1.61E-05 6.17E-05
25 100 676 625 725 4.00E-02 4.00E-02 20 20 1.19E-02 2.10E-06 4.00E-06 2.81E-06 8.16E-06 1.36E-05 5.50E-05
26 104 729 676 780 3.85E-02 3.85E-02 20 20 1.39E-02 1.81E-06 3.44E-06 2.42E-06 7.02E-06 1.16E-05 4.92E-05
27 108 784 729 837 3.70E-02 3.70E-02 20 20 1.47E-02 1.56E-06 2.98E-06 2.09E-06 6.07E-06 9.99E-06 4.42E-05
28 112 841 784 896 3.57E-02 3.57E-02 20 20 1.59E-02 1.36E-06 2.59E-06 1.82E-06 5.28E-06 8.63E-06 3.99E-05
29 116 900 841 957 3.45E-02 3.45E-02 20 20 1.77E-02 1.19E-06 2.27E-06 1.59E-06 4.61E-06 7.50E-06 3.61E-05
30 120 961 900 1020 3.33E-02 3.33E-02 20 20 2.07E-02 1.04E-06 1.99E-06 1.40E-06 4.05E-06 6.55E-06 3.28E-05
31 124 1024 961 1085 3.23E-02 3.23E-02 20 20 2.13E-02 9.18E-07 1.75E-06 1.23E-06 3.57E-06 5.74E-06 2.99E-05
32 128 1089 1024 1152 3.13E-02 3.13E-02 20 20 3.46E-02 8.12E-07 1.55E-06 1.09E-06 3.15E-06 5.06E-06 2.73E-05
