#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 4 2 6 1.08E+00 1.41E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 9 8 16 5.52E-01 7.07E-01 13 14 4.16E-04 6.28E-02 7.26E-02 7.26E-02 1.42E-01 1.95E-02 2.32E-02
3 12 16 18 30 3.71E-01 4.71E-01 13 16 3.06E-04 2.52E-02 2.84E-02 2.84E-02 5.34E-02 3.41E-02 4.49E-02
4 16 25 32 48 2.80E-01 3.54E-01 13 16 4.91E-04 1.35E-02 1.57E-02 1.57E-02 3.47E-02 2.07E-02 3.14E-02
5 20 36 50 70 2.24E-01 2.83E-01 13 16 7.68E-04 8.33E-03 9.93E-03 9.93E-03 2.57E-02 1.44E-02 2.22E-02
6 24 49 72 96 1.87E-01 2.36E-01 13 16 1.10E-03 5.59E-03 6.77E-03 6.77E-03 1.95E-02 1.06E-02 1.75E-02
7 28 64 98 126 1.61E-01 2.02E-01 13 16 1.17E-03 3.99E-03 4.88E-03 4.88E-03 1.51E-02 8.22E-03 1.45E-02
8 32 81 128 160 1.41E-01 1.77E-01 13 16 1.48E-03 2.98E-03 3.67E-03 3.67E-03 1.21E-02 6.64E-03 1.24E-02
9 36 100 162 198 1.25E-01 1.57E-01 13 16 1.92E-03 2.30E-03 2.86E-03 2.86E-03 9.85E-03 5.52E-03 1.10E-02
10 40 121 200 240 1.13E-01 1.41E-01 13 16 2.43E-03 1.83E-03 2.28E-03 2.28E-03 8.18E-03 4.70E-03 9.86E-03
11 44 144 242 286 1.03E-01 1.29E-01 13 16 2.94E-03 1.49E-03 1.86E-03 1.86E-03 6.92E-03 4.08E-03 8.98E-03
12 48 169 288 336 9.42E-02 1.18E-01 13 16 3.43E-03 1.23E-03 1.54E-03 1.54E-03 5.96E-03 3.59E-03 8.26E-03
13 52 196 338 390 8.70E-02 1.09E-01 13 16 4.28E-03 1.04E-03 1.30E-03 1.30E-03 5.18E-03 3.20E-03 7.66E-03
14 56 225 392 448 8.08E-02 1.01E-01 13 16 5.02E-03 8.87E-04 1.11E-03 1.11E-03 4.54E-03 2.88E-03 7.14E-03
15 60 256 450 510 7.55E-02 9.43E-02 13 16 5.98E-03 7.66E-04 9.62E-04 9.62E-04 4.01E-03 2.61E-03 6.69E-03
16 64 289 512 576 7.08E-02 8.84E-02 13 16 7.70E-03 6.68E-04 8.39E-04 8.39E-04 3.57E-03 2.39E-03 6.30E-03
17 68 324 578 646 6.66E-02 8.32E-02 13 16 8.00E-03 5.87E-04 7.39E-04 7.39E-04 3.20E-03 2.20E-03 5.96E-03
18 72 361 648 720 6.30E-02 7.86E-02 13 16 1.02E-02 5.21E-04 6.55E-04 6.55E-04 2.88E-03 2.03E-03 5.65E-03
19 76 400 722 798 5.97E-02 7.44E-02 13 16 1.11E-02 4.65E-04 5.85E-04 5.85E-04 2.61E-03 1.89E-03 5.37E-03
20 80 441 800 880 5.67E-02 7.07E-02 13 16 1.18E-02 4.18E-04 5.26E-04 5.26E-04 2.37E-03 1.77E-03 5.12E-03
21 84 484 882 966 5.40E-02 6.73E-02 13 16 1.43E-02 3.77E-04 4.75E-04 4.75E-04 2.16E-03 1.66E-03 4.89E-03
22 88 529 968 1056 5.15E-02 6.43E-02 13 16 1.82E-02 3.42E-04 4.31E-04 4.31E-04 1.98E-03 1.56E-03 4.68E-03
23 92 576 1058 1150 4.93E-02 6.15E-02 13 16 2.16E-02 3.12E-04 3.93E-04 3.93E-04 1.82E-03 1.48E-03 4.49E-03
24 96 625 1152 1248 4.73E-02 5.89E-02 13 16 2.28E-02 2.86E-04 3.60E-04 3.60E-04 1.68E-03 1.40E-03 4.31E-03
25 100 676 1250 1350 4.54E-02 5.66E-02 13 16 2.51E-02 2.63E-04 3.31E-04 3.31E-04 1.56E-03 1.33E-03 4.15E-03
26 104 729 1352 1456 4.36E-02 5.44E-02 13 16 2.79E-02 2.42E-04 3.05E-04 3.05E-04 1.45E-03 1.26E-03 4.00E-03
27 108 784 1458 1566 4.20E-02 5.24E-02 13 16 3.35E-02 2.24E-04 2.82E-04 2.82E-04 1.35E-03 1.21E-03 3.86E-03
28 112 841 1568 1680 4.05E-02 5.05E-02 13 16 3.66E-02 2.08E-04 2.62E-04 2.62E-04 1.26E-03 1.15E-03 3.73E-03
29 116 900 1682 1798 3.91E-02 4.88E-02 13 16 4.30E-02 1.93E-04 2.43E-04 2.43E-04 1.18E-03 1.10E-03 3.60E-03
30 120 961 1800 1920 3.78E-02 4.71E-02 13 16 4.61E-02 1.80E-04 2.27E-04 2.27E-04 1.10E-03 1.06E-03 3.49E-03
31 124 1024 1922 2046 3.66E-02 4.56E-02 13 16 5.35E-02 1.69E-04 2.12E-04 2.12E-04 1.03E-03 1.02E-03 3.38E-03
32 128 1089 2048 2176 3.55E-02 4.42E-02 13 16 5.59E-02 1.58E-04 1.99E-04 1.99E-04 9.73E-04 9.79E-04 3.28E-03
