#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 5 4 8 8.54E-01 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 13 16 24 4.16E-01 5.00E-01 20 20 1.05E-04 2.83E-03 8.82E-03 3.61E-03 8.76E-03 6.48E-02 8.69E-02
3 12 21 28 40 2.99E-01 4.12E-01 20 20 5.08E-04 8.55E-04 1.82E-03 1.53E-03 5.29E-03 2.13E-02 3.57E-02
4 16 29 40 56 2.51E-01 3.33E-01 20 20 7.60E-04 2.88E-04 6.59E-04 3.84E-04 1.42E-03 9.23E-03 1.46E-02
5 20 45 68 88 1.89E-01 2.57E-01 20 21 1.10E-03 1.13E-04 2.60E-04 2.04E-04 1.10E-03 4.40E-03 8.79E-03
6 24 65 104 128 1.55E-01 2.16E-01 20 20 1.69E-03 6.99E-05 1.36E-04 9.98E-05 3.06E-04 2.91E-03 6.75E-03
7 28 77 124 152 1.40E-01 1.94E-01 20 20 2.02E-03 2.76E-05 6.70E-05 4.38E-05 2.90E-04 1.84E-03 5.39E-03
8 32 109 184 216 1.14E-01 1.68E-01 20 20 2.92E-03 2.28E-05 3.59E-05 3.17E-05 1.53E-04 1.03E-03 3.55E-03
9 36 133 228 264 1.03E-01 1.39E-01 20 20 4.15E-03 1.07E-05 2.21E-05 1.83E-05 1.49E-04 6.96E-04 1.83E-03
10 40 142 242 282 9.99E-02 1.41E-01 20 20 4.52E-03 8.73E-06 1.74E-05 1.41E-05 9.94E-05 5.93E-04 1.86E-03
11 44 170 294 338 9.01E-02 1.23E-01 20 21 5.48E-03 8.09E-06 1.23E-05 1.09E-05 3.79E-05 4.74E-04 1.22E-03
12 48 214 378 426 7.97E-02 1.16E-01 20 20 6.78E-03 4.82E-06 7.71E-06 7.10E-06 2.83E-05 3.61E-04 1.03E-03
13 52 253 452 504 7.27E-02 9.80E-02 20 21 8.68E-03 4.28E-06 6.15E-06 5.81E-06 2.92E-05 2.95E-04 7.52E-04
14 56 288 518 574 6.81E-02 9.27E-02 20 20 1.06E-02 2.36E-06 3.93E-06 3.51E-06 2.26E-05 2.35E-04 7.64E-04
15 60 324 586 646 6.39E-02 8.82E-02 20 20 1.17E-02 2.12E-06 3.27E-06 3.14E-06 1.60E-05 1.84E-04 5.49E-04
16 64 371 676 740 5.96E-02 8.56E-02 20 20 1.40E-02 1.52E-06 2.35E-06 2.34E-06 1.41E-05 1.49E-04 4.69E-04
17 68 426 782 850 5.53E-02 8.27E-02 20 20 1.72E-02 1.03E-06 1.78E-06 1.55E-06 1.27E-05 1.35E-04 4.90E-04
18 72 474 874 946 5.23E-02 7.78E-02 20 20 1.92E-02 8.36E-07 1.38E-06 1.22E-06 5.17E-06 1.07E-04 3.74E-04
19 76 518 958 1034 5.00E-02 7.03E-02 20 20 2.30E-02 9.59E-07 1.26E-06 1.34E-06 5.23E-06 9.81E-05 3.29E-04
20 80 568 1054 1134 4.77E-02 6.64E-02 20 21 2.54E-02 7.68E-07 1.03E-06 1.09E-06 4.64E-06 8.23E-05 2.47E-04
21 84 606 1126 1210 4.62E-02 6.56E-02 20 20 2.66E-02 5.91E-07 8.97E-07 8.85E-07 4.74E-06 7.69E-05 2.54E-04
22 88 667 1244 1332 4.38E-02 6.30E-02 20 20 3.44E-02 4.06E-07 7.13E-07 6.49E-07 4.03E-06 6.60E-05 2.66E-04
23 92 743 1392 1484 4.14E-02 6.10E-02 20 20 3.65E-02 4.40E-07 5.93E-07 6.19E-07 4.01E-06 5.35E-05 1.75E-04
24 96 830 1562 1658 3.90E-02 5.63E-02 20 20 4.35E-02 3.84E-07 4.76E-07 5.27E-07 2.73E-06 4.70E-05 1.50E-04
25 100 891 1680 1780 3.77E-02 5.51E-02 20 20 4.83E-02 2.49E-07 3.63E-07 3.55E-07 2.86E-06 3.95E-05 1.23E-04
26 104 963 1820 1924 3.62E-02 5.20E-02 20 20 5.57E-02 2.59E-07 3.46E-07 3.54E-07 2.35E-06 3.55E-05 1.45E-04
27 108 1009 1908 2016 3.53E-02 5.20E-02 20 20 6.43E-02 2.45E-07 3.05E-07 3.30E-07 2.41E-06 3.29E-05 1.24E-04
28 112 1093 2072 2184 3.40E-02 5.25E-02 20 20 6.57E-02 1.67E-07 2.50E-07 2.52E-07 2.04E-06 2.94E-05 1.17E-04
29 116 1161 2204 2320 3.29E-02 5.13E-02 20 21 8.65E-02 2.09E-07 2.67E-07 2.99E-07 1.69E-06 2.62E-05 8.14E-05
30 120 1234 2346 2466 3.18E-02 4.58E-02 20 21 8.91E-02 2.05E-07 2.52E-07 2.98E-07 1.52E-06 2.42E-05 8.12E-05
31 124 1315 2504 2628 3.08E-02 4.53E-02 20 20 9.81E-02 1.29E-07 1.71E-07 1.91E-07 1.56E-06 2.20E-05 8.12E-05
32 128 1394 2658 2786 2.99E-02 4.47E-02 20 20 1.10E-01 1.27E-07 1.59E-07 1.87E-07 1.35E-06 2.04E-05 6.95E-05
