#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 4 1 5 1.00E+00 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 9 4 12 5.00E-01 5.00E-01 Inf 0 NaN NaN NaN NaN NaN NaN NaN
3 12 16 9 21 3.33E-01 3.33E-01 13 14 1.97E-04 3.13E-02 3.66E-02 3.66E-02 7.50E-02 3.04E-02 4.47E-02
4 16 25 16 32 2.50E-01 2.50E-01 13 14 8.42E-04 1.34E-02 1.73E-02 1.73E-02 4.71E-02 2.08E-02 3.58E-02
5 20 36 25 45 2.00E-01 2.00E-01 13 16 5.90E-04 6.82E-03 9.74E-03 9.74E-03 3.19E-02 1.57E-02 2.88E-02
6 24 49 36 60 1.67E-01 1.67E-01 13 16 7.41E-04 4.03E-03 6.13E-03 6.13E-03 2.30E-02 1.21E-02 2.41E-02
7 28 64 49 77 1.43E-01 1.43E-01 13 16 8.79E-04 2.67E-03 4.16E-03 4.16E-03 1.73E-02 9.34E-03 2.09E-02
8 32 81 64 96 1.25E-01 1.25E-01 13 16 1.11E-03 1.91E-03 2.99E-03 2.99E-03 1.35E-02 7.39E-03 1.86E-02
9 36 100 81 117 1.11E-01 1.11E-01 13 16 1.42E-03 1.45E-03 2.24E-03 2.24E-03 1.08E-02 6.00E-03 1.68E-02
10 40 121 100 140 1.00E-01 1.00E-01 13 16 1.50E-03 1.15E-03 1.75E-03 1.75E-03 8.89E-03 4.98E-03 1.53E-02
11 44 144 121 165 9.09E-02 9.09E-02 13 16 1.82E-03 9.41E-04 1.40E-03 1.40E-03 7.42E-03 4.21E-03 1.40E-02
12 48 169 144 192 8.33E-02 8.33E-02 13 16 2.17E-03 7.88E-04 1.15E-03 1.15E-03 6.28E-03 3.62E-03 1.30E-02
13 52 196 169 221 7.69E-02 7.69E-02 13 16 2.52E-03 6.72E-04 9.63E-04 9.63E-04 5.39E-03 3.15E-03 1.21E-02
14 56 225 196 252 7.14E-02 7.14E-02 13 16 2.79E-03 5.82E-04 8.21E-04 8.21E-04 4.67E-03 2.78E-03 1.13E-02
15 60 256 225 285 6.67E-02 6.67E-02 13 16 2.98E-03 5.10E-04 7.10E-04 7.10E-04 4.09E-03 2.47E-03 1.06E-02
16 64 289 256 320 6.25E-02 6.25E-02 13 16 3.51E-03 4.51E-04 6.21E-04 6.21E-04 3.61E-03 2.21E-03 9.97E-03
17 68 324 289 357 5.88E-02 5.88E-02 13 16 4.22E-03 4.03E-04 5.48E-04 5.48E-04 3.21E-03 2.00E-03 9.42E-03
18 72 361 324 396 5.56E-02 5.56E-02 13 16 6.08E-03 3.62E-04 4.89E-04 4.89E-04 2.88E-03 1.81E-03 8.92E-03
19 76 400 361 437 5.26E-02 5.26E-02 13 16 4.96E-03 3.28E-04 4.39E-04 4.39E-04 2.59E-03 1.65E-03 8.47E-03
20 80 441 400 480 5.00E-02 5.00E-02 13 16 5.98E-03 2.98E-04 3.97E-04 3.97E-04 2.34E-03 1.52E-03 8.06E-03
21 84 484 441 525 4.76E-02 4.76E-02 13 16 6.49E-03 2.73E-04 3.61E-04 3.61E-04 2.13E-03 1.40E-03 7.69E-03
22 88 529 484 572 4.55E-02 4.55E-02 13 16 9.08E-03 2.50E-04 3.30E-04 3.30E-04 1.95E-03 1.30E-03 7.35E-03
23 92 576 529 621 4.35E-02 4.35E-02 13 16 7.66E-03 2.31E-04 3.02E-04 3.02E-04 1.78E-03 1.20E-03 7.04E-03
24 96 625 576 672 4.17E-02 4.17E-02 13 16 9.54E-03 2.13E-04 2.79E-04 2.79E-04 1.64E-03 1.12E-03 6.75E-03
25 100 676 625 725 4.00E-02 4.00E-02 13 16 9.86E-03 1.98E-04 2.58E-04 2.58E-04 1.52E-03 1.05E-03 6.48E-03
26 104 729 676 780 3.85E-02 3.85E-02 13 16 1.10E-02 1.84E-04 2.39E-04 2.39E-04 1.40E-03 9.83E-04 6.23E-03
27 108 784 729 837 3.70E-02 3.70E-02 13 16 1.31E-02 1.72E-04 2.23E-04 2.23E-04 1.30E-03 9.24E-04 6.01E-03
28 112 841 784 896 3.57E-02 3.57E-02 13 16 1.28E-02 1.61E-04 2.08E-04 2.08E-04 1.21E-03 8.70E-04 5.79E-03
29 116 900 841 957 3.45E-02 3.45E-02 13 16 1.36E-02 1.51E-04 1.95E-04 1.95E-04 1.13E-03 8.22E-04 5.59E-03
30 120 961 900 1020 3.33E-02 3.33E-02 13 16 1.55E-02 1.42E-04 1.83E-04 1.83E-04 1.06E-03 7.77E-04 5.41E-03
31 124 1024 961 1085 3.23E-02 3.23E-02 13 16 2.24E-02 1.33E-04 1.72E-04 1.72E-04 9.95E-04 7.37E-04 5.23E-03
32 128 1089 1024 1152 3.13E-02 3.13E-02 13 16 1.96E-02 1.26E-04 1.62E-04 1.62E-04 9.34E-04 7.00E-04 5.07E-03
