#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 4 2 6 1.08E+00 1.41E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 9 8 16 5.52E-01 7.07E-01 Inf 0 NaN NaN NaN NaN NaN NaN NaN
3 12 16 18 30 3.71E-01 4.71E-01 20 20 1.07E-04 1.55E-03 2.18E-03 2.26E-03 7.39E-03 3.09E-02 4.64E-02
4 16 25 32 48 2.80E-01 3.54E-01 20 21 6.31E-04 5.89E-04 7.59E-04 8.74E-04 3.52E-03 8.76E-03 1.49E-02
5 20 36 50 70 2.24E-01 2.83E-01 20 21 1.13E-03 2.56E-04 3.37E-04 3.77E-04 1.65E-03 3.95E-03 6.31E-03
6 24 49 72 96 1.87E-01 2.36E-01 20 21 1.26E-03 1.31E-04 1.75E-04 1.93E-04 8.75E-04 2.16E-03 3.01E-03
7 28 64 98 126 1.61E-01 2.02E-01 20 21 2.31E-03 7.46E-05 1.01E-04 1.10E-04 5.06E-04 1.31E-03 1.91E-03
8 32 81 128 160 1.41E-01 1.77E-01 20 21 2.06E-03 4.57E-05 6.21E-05 6.72E-05 3.13E-04 8.54E-04 1.46E-03
9 36 100 162 198 1.25E-01 1.57E-01 20 21 2.52E-03 2.96E-05 4.04E-05 4.36E-05 2.03E-04 5.86E-04 1.12E-03
10 40 121 200 240 1.13E-01 1.41E-01 20 21 3.61E-03 2.00E-05 2.75E-05 2.96E-05 1.38E-04 4.19E-04 8.91E-04
11 44 144 242 286 1.03E-01 1.29E-01 20 21 3.84E-03 1.41E-05 1.93E-05 2.08E-05 9.69E-05 3.08E-04 7.17E-04
12 48 169 288 336 9.42E-02 1.18E-01 20 21 4.99E-03 1.01E-05 1.40E-05 1.50E-05 7.00E-05 2.33E-04 5.82E-04
13 52 196 338 390 8.70E-02 1.09E-01 20 21 5.42E-03 7.51E-06 1.04E-05 1.12E-05 5.19E-05 1.80E-04 4.77E-04
14 56 225 392 448 8.08E-02 1.01E-01 20 21 6.36E-03 5.68E-06 7.87E-06 8.45E-06 3.92E-05 1.42E-04 3.94E-04
15 60 256 450 510 7.55E-02 9.43E-02 20 21 8.15E-03 4.37E-06 6.07E-06 6.52E-06 3.02E-05 1.14E-04 3.29E-04
16 64 289 512 576 7.08E-02 8.84E-02 20 21 8.79E-03 3.42E-06 4.76E-06 5.11E-06 2.36E-05 9.22E-05 2.77E-04
17 68 324 578 646 6.66E-02 8.32E-02 20 21 9.71E-03 2.72E-06 3.78E-06 4.06E-06 1.88E-05 7.58E-05 2.35E-04
18 72 361 648 720 6.30E-02 7.86E-02 20 21 1.18E-02 2.18E-06 3.04E-06 3.27E-06 1.51E-05 6.30E-05 2.01E-04
19 76 400 722 798 5.97E-02 7.44E-02 20 21 1.40E-02 1.78E-06 2.48E-06 2.66E-06 1.23E-05 5.30E-05 1.73E-04
20 80 441 800 880 5.67E-02 7.07E-02 20 21 1.57E-02 1.46E-06 2.04E-06 2.19E-06 1.01E-05 4.49E-05 1.50E-04
21 84 484 882 966 5.40E-02 6.73E-02 20 21 1.88E-02 1.21E-06 1.69E-06 1.81E-06 8.34E-06 3.84E-05 1.31E-04
22 88 529 968 1056 5.15E-02 6.43E-02 20 21 2.17E-02 1.01E-06 1.41E-06 1.52E-06 6.97E-06 3.30E-05 1.15E-04
23 92 576 1058 1150 4.93E-02 6.15E-02 20 21 2.51E-02 8.52E-07 1.19E-06 1.28E-06 5.87E-06 2.86E-05 1.01E-04
24 96 625 1152 1248 4.73E-02 5.89E-02 20 21 3.16E-02 7.23E-07 1.01E-06 1.09E-06 4.98E-06 2.50E-05 8.95E-05
25 100 676 1250 1350 4.54E-02 5.66E-02 20 21 3.10E-02 6.18E-07 8.64E-07 9.28E-07 4.25E-06 2.19E-05 7.96E-05
26 104 729 1352 1456 4.36E-02 5.44E-02 20 21 3.58E-02 5.31E-07 7.43E-07 7.98E-07 3.66E-06 1.93E-05 7.11E-05
27 108 784 1458 1566 4.20E-02 5.24E-02 20 21 4.21E-02 4.58E-07 6.42E-07 6.90E-07 3.19E-06 1.71E-05 6.38E-05
28 112 841 1568 1680 4.05E-02 5.05E-02 20 21 4.33E-02 3.98E-07 5.58E-07 5.99E-07 2.79E-06 1.53E-05 5.74E-05
29 116 900 1682 1798 3.91E-02 4.88E-02 20 21 4.76E-02 3.47E-07 4.87E-07 5.23E-07 2.45E-06 1.37E-05 5.18E-05
30 120 961 1800 1920 3.78E-02 4.71E-02 20 21 5.67E-02 3.05E-07 4.27E-07 4.59E-07 2.16E-06 1.23E-05 4.70E-05
31 124 1024 1922 2046 3.66E-02 4.56E-02 20 21 6.46E-02 2.68E-07 3.76E-07 4.04E-07 1.91E-06 1.10E-05 4.27E-05
32 128 1089 2048 2176 3.55E-02 4.42E-02 20 21 6.61E-02 2.37E-07 3.32E-07 3.57E-07 1.70E-06 9.98E-06 3.89E-05
