#mesh #BF #V #IC #C h_avg[m] h_max[m] Nn_min Nn_max time[s] L1[m] L2_GP[m] L2_CP[m] Linf[m] L2_CP[Pa] Linf[Pa]
1 4 5 4 8 8.54E-01 1.00E+00 Inf 0 NaN NaN NaN NaN NaN NaN NaN
2 8 13 16 24 4.16E-01 5.00E-01 13 15 4.26E-04 3.49E-02 4.00E-02 4.00E-02 8.02E-02 4.65E-02 5.69E-02
3 12 21 28 40 2.99E-01 4.12E-01 13 14 3.53E-04 2.15E-02 2.67E-02 2.67E-02 5.87E-02 2.25E-02 2.92E-02
4 16 29 40 56 2.51E-01 3.33E-01 13 14 4.82E-04 1.23E-02 1.53E-02 1.53E-02 3.77E-02 1.73E-02 3.10E-02
5 20 45 68 88 1.89E-01 2.57E-01 13 13 9.83E-04 6.71E-03 8.58E-03 8.58E-03 2.17E-02 1.67E-02 3.81E-02
6 24 65 104 128 1.55E-01 2.16E-01 13 13 1.36E-03 4.37E-03 5.74E-03 5.74E-03 1.81E-02 1.18E-02 2.80E-02
7 28 77 124 152 1.40E-01 1.94E-01 13 13 1.59E-03 3.06E-03 3.94E-03 3.94E-03 1.22E-02 9.60E-03 2.20E-02
8 32 109 184 216 1.14E-01 1.68E-01 13 13 2.98E-03 2.86E-03 3.73E-03 3.73E-03 1.31E-02 7.90E-03 1.91E-02
9 36 133 228 264 1.03E-01 1.39E-01 13 13 3.18E-03 2.05E-03 2.65E-03 2.65E-03 9.13E-03 7.55E-03 1.98E-02
10 40 142 242 282 9.99E-02 1.41E-01 13 13 3.02E-03 1.54E-03 2.02E-03 2.02E-03 7.08E-03 7.20E-03 2.32E-02
11 44 170 294 338 9.01E-02 1.23E-01 13 14 3.86E-03 1.48E-03 1.93E-03 1.93E-03 8.49E-03 6.48E-03 1.85E-02
12 48 214 378 426 7.97E-02 1.16E-01 13 13 5.05E-03 9.46E-04 1.26E-03 1.26E-03 5.42E-03 5.86E-03 1.76E-02
13 52 253 452 504 7.27E-02 9.80E-02 13 13 5.76E-03 9.55E-04 1.20E-03 1.20E-03 4.55E-03 5.78E-03 1.51E-02
14 56 288 518 574 6.81E-02 9.27E-02 13 13 7.29E-03 9.52E-04 1.22E-03 1.22E-03 4.39E-03 5.23E-03 1.76E-02
15 60 324 586 646 6.39E-02 8.82E-02 13 13 8.53E-03 8.51E-04 1.13E-03 1.13E-03 4.93E-03 4.60E-03 1.25E-02
16 64 371 676 740 5.96E-02 8.56E-02 13 13 1.01E-02 6.90E-04 9.35E-04 9.35E-04 3.63E-03 4.24E-03 1.15E-02
17 68 426 782 850 5.53E-02 8.27E-02 13 13 1.25E-02 6.38E-04 8.26E-04 8.26E-04 3.28E-03 4.00E-03 1.37E-02
18 72 474 874 946 5.23E-02 7.78E-02 13 14 1.47E-02 4.34E-04 6.05E-04 6.05E-04 2.41E-03 3.90E-03 1.14E-02
19 76 518 958 1034 5.00E-02 7.03E-02 13 14 1.63E-02 5.10E-04 6.35E-04 6.35E-04 2.34E-03 3.66E-03 1.29E-02
20 80 568 1054 1134 4.77E-02 6.64E-02 13 14 1.95E-02 4.03E-04 5.26E-04 5.26E-04 2.11E-03 3.47E-03 1.14E-02
21 84 606 1126 1210 4.62E-02 6.56E-02 13 14 2.25E-02 3.74E-04 4.88E-04 4.88E-04 2.51E-03 3.50E-03 1.03E-02
22 88 667 1244 1332 4.38E-02 6.30E-02 13 13 2.43E-02 2.63E-04 3.69E-04 3.69E-04 1.86E-03 3.37E-03 1.13E-02
23 92 743 1392 1484 4.14E-02 6.10E-02 13 13 2.85E-02 3.24E-04 4.37E-04 4.37E-04 1.84E-03 3.00E-03 9.58E-03
24 96 830 1562 1658 3.90E-02 5.63E-02 13 13 3.38E-02 3.61E-04 4.47E-04 4.47E-04 1.67E-03 2.93E-03 9.69E-03
25 100 891 1680 1780 3.77E-02 5.51E-02 13 13 3.80E-02 2.37E-04 3.29E-04 3.29E-04 1.55E-03 2.77E-03 8.96E-03
26 104 963 1820 1924 3.62E-02 5.20E-02 13 13 4.63E-02 2.31E-04 2.98E-04 2.98E-04 1.24E-03 2.74E-03 1.06E-02
27 108 1009 1908 2016 3.53E-02 5.20E-02 13 13 4.54E-02 1.99E-04 2.73E-04 2.73E-04 1.56E-03 2.61E-03 8.36E-03
28 112 1093 2072 2184 3.40E-02 5.25E-02 13 13 5.28E-02 2.07E-04 2.76E-04 2.76E-04 1.20E-03 2.58E-03 9.00E-03
29 116 1161 2204 2320 3.29E-02 5.13E-02 13 13 5.71E-02 2.09E-04 2.83E-04 2.83E-04 1.44E-03 2.46E-03 1.08E-02
30 120 1234 2346 2466 3.18E-02 4.58E-02 13 14 6.16E-02 1.84E-04 2.48E-04 2.48E-04 1.64E-03 2.42E-03 8.89E-03
31 124 1315 2504 2628 3.08E-02 4.53E-02 13 13 7.06E-02 1.43E-04 1.91E-04 1.91E-04 1.08E-03 2.28E-03 1.03E-02
32 128 1394 2658 2786 2.99E-02 4.47E-02 13 13 7.71E-02 1.29E-04 1.75E-04 1.75E-04 9.12E-04 2.24E-03 7.32E-03
